id,final_status,category,subject,path,line,confidence,risk,proof_eligible,loc,bytes,status_reason
CRT-001,REVIEW,orphan-file,.codex-seo-visual-test.py,.codex-seo-visual-test.py,,high,low,True,45,2324,Not proven in a disposable copy.
CRT-002,KEEP,orphan-file,.output/public/_nuxt/BCYUChiP.js,.output/public/_nuxt/BCYUChiP.js,,medium,medium,False,2,140011,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-003,KEEP,orphan-file,.output/public/_nuxt/BGxsx0TN.js,.output/public/_nuxt/BGxsx0TN.js,,medium,medium,False,1,275,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-004,KEEP,orphan-file,.output/public/_nuxt/BHoPddxq.js,.output/public/_nuxt/BHoPddxq.js,,medium,medium,False,1,414,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-005,KEEP,orphan-file,.output/public/_nuxt/BhwPdyg7.js,.output/public/_nuxt/BhwPdyg7.js,,medium,medium,False,1,305,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-006,KEEP,orphan-file,.output/public/_nuxt/BrEz5IKj.js,.output/public/_nuxt/BrEz5IKj.js,,medium,medium,False,1,410,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-007,KEEP,orphan-file,.output/public/_nuxt/CHTgmpFa.js,.output/public/_nuxt/CHTgmpFa.js,,medium,medium,False,1,310,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-008,KEEP,orphan-file,.output/public/_nuxt/CT52cIms.js,.output/public/_nuxt/CT52cIms.js,,medium,medium,False,1,2009,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-009,KEEP,orphan-file,.output/public/_nuxt/CZbx7lNI.js,.output/public/_nuxt/CZbx7lNI.js,,medium,medium,False,1,3692,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-010,KEEP,orphan-file,.output/public/_nuxt/CbNbuWb2.js,.output/public/_nuxt/CbNbuWb2.js,,medium,medium,False,1,267,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-011,KEEP,orphan-file,.output/public/_nuxt/CfUrNL1K.js,.output/public/_nuxt/CfUrNL1K.js,,medium,medium,False,1,2919,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-012,KEEP,orphan-file,.output/public/_nuxt/Cuu9779P.js,.output/public/_nuxt/Cuu9779P.js,,medium,medium,False,1,419,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-013,KEEP,orphan-file,.output/public/_nuxt/D3bGyH_U.js,.output/public/_nuxt/D3bGyH_U.js,,medium,medium,False,3,94052,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-014,KEEP,orphan-file,.output/public/_nuxt/D65ukYnA.js,.output/public/_nuxt/D65ukYnA.js,,medium,medium,False,1,26557,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-015,KEEP,orphan-file,.output/public/_nuxt/D748dLCJ.js,.output/public/_nuxt/D748dLCJ.js,,medium,medium,False,1,67165,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-016,KEEP,orphan-file,.output/public/_nuxt/DMwX1WEl.js,.output/public/_nuxt/DMwX1WEl.js,,medium,medium,False,1,23831,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-017,KEEP,orphan-file,.output/public/_nuxt/DWoqGCi-.js,.output/public/_nuxt/DWoqGCi-.js,,medium,medium,False,3,113058,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-018,KEEP,orphan-file,.output/public/_nuxt/DWr_OC-d.js,.output/public/_nuxt/DWr_OC-d.js,,medium,medium,False,1,1515,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-019,KEEP,orphan-file,.output/public/_nuxt/D_X6GRZy.js,.output/public/_nuxt/D_X6GRZy.js,,medium,medium,False,1,2060,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-020,KEEP,orphan-file,.output/public/_nuxt/Din6mfaL.js,.output/public/_nuxt/Din6mfaL.js,,medium,medium,False,1,271,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-021,KEEP,orphan-file,.output/public/_nuxt/DnOljBaa.js,.output/public/_nuxt/DnOljBaa.js,,medium,medium,False,1,4547,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-022,KEEP,orphan-file,.output/public/_nuxt/Dp84xg9x.js,.output/public/_nuxt/Dp84xg9x.js,,medium,medium,False,1,2158,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-023,KEEP,orphan-file,.output/public/_nuxt/DrEnm75J.js,.output/public/_nuxt/DrEnm75J.js,,medium,medium,False,1,410,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-024,KEEP,orphan-file,.output/public/_nuxt/Nn3Fh2eE.js,.output/public/_nuxt/Nn3Fh2eE.js,,medium,medium,False,1,267,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-025,KEEP,orphan-file,.output/public/_nuxt/OckstAWV.js,.output/public/_nuxt/OckstAWV.js,,medium,medium,False,1,302,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-026,KEEP,orphan-file,.output/public/_nuxt/popr4JVf.js,.output/public/_nuxt/popr4JVf.js,,medium,medium,False,1,307,Generated Nuxt build output under .output; excluded from source cleanup scope.
CRT-027,KEEP,orphan-file,.output/public/panhub-link-checker.user.js,.output/public/panhub-link-checker.user.js,,medium,medium,False,569,20007,Generated copy of a public asset under .output; excluded from source cleanup scope.
CRT-028,KEEP,orphan-file,.output/server/chunks/_/PhArrowRight.vue.mjs,.output/server/chunks/_/PhArrowRight.vue.mjs,,medium,medium,False,2,2116,Generated Nitro server chunk under .output; excluded from source cleanup scope.
CRT-029,KEEP,orphan-file,.output/server/chunks/_/PhArrowUpRight.vue.mjs,.output/server/chunks/_/PhArrowUpRight.vue.mjs,,medium,medium,False,2,2067,Generated Nitro server chunk under .output; excluded from source cleanup scope.
CRT-030,KEEP,orphan-file,.output/server/chunks/_/PhMagnifyingGlass.vue.mjs,.output/server/chunks/_/PhMagnifyingGlass.vue.mjs,,medium,medium,False,2,2219,Generated Nitro server chunk under .output; excluded from source cleanup scope.
CRT-031,KEEP,orphan-file,.output/server/chunks/_/cloudflareBindings.mjs,.output/server/chunks/_/cloudflareBindings.mjs,,medium,medium,False,2,1210,Generated Nitro server chunk under .output; excluded from source cleanup scope.
CRT-032,KEEP,orphan-file,.output/server/chunks/_/d1HotSearchService.mjs,.output/server/chunks/_/d1HotSearchService.mjs,,medium,medium,False,2,4818,Generated Nitro server chunk under .output; excluded from source cleanup scope.
CRT-033,KEEP,orphan-file,.output/server/chunks/_/index.mjs,.output/server/chunks/_/index.mjs,,medium,medium,False,2,65715,Generated Nitro server chunk under .output; excluded from source cleanup scope.
CRT-034,KEEP,orphan-file,.output/server/chunks/_/index2.mjs,.output/server/chunks/_/index2.mjs,,medium,medium,False,2,1738,Generated Nitro server chunk under .output; excluded from source cleanup scope.
CRT-035,KEEP,orphan-file,.output/server/chunks/_/linkHealthService.mjs,.output/server/chunks/_/linkHealthService.mjs,,medium,medium,False,2,8311,Generated Nitro server chunk under .output; excluded from source cleanup scope.
CRT-036,KEEP,orphan-file,.output/server/chunks/_/logger.mjs,.output/server/chunks/_/logger.mjs,,medium,medium,False,2,2274,Generated Nitro server chunk under .output; excluded from source cleanup scope.
CRT-037,KEEP,orphan-file,.output/server/chunks/_/memoryCache.mjs,.output/server/chunks/_/memoryCache.mjs,,medium,medium,False,2,301860,Generated Nitro server chunk under .output; excluded from source cleanup scope.
CRT-038,KEEP,orphan-file,.output/server/chunks/_/performance.mjs,.output/server/chunks/_/performance.mjs,,medium,medium,False,2,3640,Generated Nitro server chunk under .output; excluded from source cleanup scope.
CRT-039,KEEP,orphan-file,.output/server/chunks/_/searchLinkHealth.mjs,.output/server/chunks/_/searchLinkHealth.mjs,,medium,medium,False,2,4025,Generated Nitro server chunk under .output; excluded from source cleanup scope.
CRT-040,KEEP,orphan-file,.output/server/chunks/_/searchQualityService.mjs,.output/server/chunks/_/searchQualityService.mjs,,medium,medium,False,2,16478,Generated Nitro server chunk under .output; excluded from source cleanup scope.
CRT-041,KEEP,orphan-file,.output/server/chunks/_/shared.esm-bundler.mjs,.output/server/chunks/_/shared.esm-bundler.mjs,,medium,medium,False,2,16817,Generated Nitro server chunk under .output; excluded from source cleanup scope.
CRT-042,KEEP,orphan-file,.output/server/chunks/nitro/nitro.mjs,.output/server/chunks/nitro/nitro.mjs,,medium,medium,False,2,106533,Generated Nitro runtime entry under .output; excluded from source cleanup scope.
CRT-043,KEEP,orphan-file,.output/server/chunks/virtual/_commonjsHelpers.mjs,.output/server/chunks/virtual/_commonjsHelpers.mjs,,medium,medium,False,2,206,Generated bundler helper under .output; excluded from source cleanup scope.
CRT-044,KEEP,orphan-file,.output/server/index.mjs,.output/server/index.mjs,,medium,medium,False,2,252,Generated Nitro deployment entry under .output; excluded from source cleanup scope.
CRT-045,KEEP,orphan-file,composables/useAiAnalysis.ts,composables/useAiAnalysis.ts,,high,low,True,98,2458,Nuxt auto-imported composable; used by pages/index/index.vue.
CRT-046,KEEP,orphan-file,composables/useDarkMode.ts,composables/useDarkMode.ts,,medium,medium,False,39,1135,Nuxt auto-imported composable; used by app.vue.
