排名,中文域名,Punycode,字数,词频,词性,英文释义,类别,综合推荐分,年费USD,注册周期年,购买验证链接,验证时间UTC,词典来源
1,当下.com,xn--ghq143b.com,2,4358,t,immediately; at once; at that moment; at the moment,通用品牌,99.9,11.25,1,https://vercel.com/domains/search?q=xn--ghq143b.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
2,清醒.com,xn--c5w817e.com,2,1445,a,clear-headed; sober; awake,生活审美,99.9,11.25,1,https://vercel.com/domains/search?q=xn--c5w817e.com,2026-07-23T18:24:48.083Z,Jieba + CC-CEDICT
3,大气.com,xn--pss635b.com,2,1927,n,atmosphere (surrounding the earth); imposing; impressive; stylish,通用品牌,99.8,11.25,1,https://vercel.com/domains/search?q=xn--pss635b.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
4,内涵.com,xn--v6q000e.com,2,1100,n,meaningful content; implication; (semantics) connotation; inner qualities (of a person),通用品牌,99.8,11.25,1,https://vercel.com/domains/search?q=xn--v6q000e.com,2026-07-23T18:24:48.084Z,Jieba + CC-CEDICT
5,心灵.com,xn--15tp58a.com,2,1411,n,bright; smart; quick-witted; heart; thoughts; spirit,品质价值,99.8,11.25,1,https://vercel.com/domains/search?q=xn--15tp58a.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
6,光芒.com,xn--54q841j.com,2,1838,n,rays of light; brilliant rays; radiance,生活审美,99.8,11.25,1,https://vercel.com/domains/search?q=xn--54q841j.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
7,眼光.com,xn--54qz83g.com,2,2009,n,gaze; insight; foresight; vision; way of looking at things,生活审美,99.7,11.25,1,https://vercel.com/domains/search?q=xn--54qz83g.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
8,前景.com,xn--ldrs40c.com,2,1663,n,foreground; vista; (future) prospects; perspective,生活审美,99.7,11.25,1,https://vercel.com/domains/search?q=xn--ldrs40c.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
9,实力.com,xn--tfrp3s.com,2,5304,n,strength,商业价值,99.7,11.25,1,https://vercel.com/domains/search?q=xn--tfrp3s.com,2026-07-23T18:17:37.656Z,Jieba + CC-CEDICT
10,成就.com,xn--xft99k.com,2,3599,n,accomplishment; success; achievement; CL:個|个[ge4]; to achieve (a result); to create; to bring about,通用品牌,99.6,11.25,1,https://vercel.com/domains/search?q=xn--xft99k.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
11,理念.com,xn--h7tp06b.com,2,1204,n,idea; concept; philosophy; theory,通用品牌,99.6,11.25,1,https://vercel.com/domains/search?q=xn--h7tp06b.com,2026-07-23T18:24:48.084Z,Jieba + CC-CEDICT
12,开创.com,xn--5br272a.com,2,1741,v,to initiate; to start; to found,通用品牌,99.6,11.25,1,https://vercel.com/domains/search?q=xn--5br272a.com,2026-07-23T18:28:33.157Z,Jieba + CC-CEDICT
13,活跃.com,xn--kzwy70e.com,2,1628,vn,active; lively; excited; to enliven; to brighten up,通用品牌,99.5,11.25,1,https://vercel.com/domains/search?q=xn--kzwy70e.com,2026-07-23T18:24:48.083Z,Jieba + CC-CEDICT
14,节奏.com,xn--utsr27g.com,2,1173,n,rhythm; tempo; musical pulse; cadence; beat,通用品牌,99.5,11.25,1,https://vercel.com/domains/search?q=xn--utsr27g.com,2026-07-23T18:24:48.084Z,Jieba + CC-CEDICT
15,明亮.com,xn--3lqs38c.com,2,842,a,bright; shining; glittering; to become clear,通用品牌,99.5,11.25,1,https://vercel.com/domains/search?q=xn--3lqs38c.com,2026-07-23T18:28:33.159Z,Jieba + CC-CEDICT
16,美誉.com,xn--lt0aw8t.com,2,651,n,good name; good reputation,生活审美,99.5,11.25,1,https://vercel.com/domains/search?q=xn--lt0aw8t.com,2026-07-23T18:28:33.159Z,Jieba + CC-CEDICT
17,流芳.com,xn--qzwm17b.com,2,545,n,to leave a good reputation,通用品牌,99.4,11.25,1,https://vercel.com/domains/search?q=xn--qzwm17b.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
18,声誉.com,xn--4qs276i.com,2,574,n,reputation; fame,内容文化,99.4,11.25,1,https://vercel.com/domains/search?q=xn--4qs276i.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
19,信赖.com,xn--vuq311m.com,2,395,n,to trust; to have confidence in; to have faith in; to rely on,品质价值,99.4,11.25,1,https://vercel.com/domains/search?q=xn--vuq311m.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
20,真情.com,xn--feu901c.com,2,385,n,real situation; the truth; true emotions; true feelings,品质价值,99.3,11.25,1,https://vercel.com/domains/search?q=xn--feu901c.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
21,诗文.com,xn--7dvt66f.com,2,1026,n,poetry and literature,内容文化,99.3,11.25,1,https://vercel.com/domains/search?q=xn--7dvt66f.com,2026-07-23T18:24:48.083Z,Jieba + CC-CEDICT
22,诗集.com,xn--ge3a88s.com,2,575,n,poetry anthology,内容文化,99.3,11.25,1,https://vercel.com/domains/search?q=xn--ge3a88s.com,2026-07-23T18:36:19.165Z,Jieba + CC-CEDICT
23,图册.com,xn--26qp6k.com,2,1957,n,book of pictures or charts; (math.) atlas,内容文化,99.2,11.25,1,https://vercel.com/domains/search?q=xn--26qp6k.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
24,风雨.com,xn--ep5a90b.com,2,585,n,wind and rain; the elements; (fig.) trials and hardships,生活审美,99.2,11.25,1,https://vercel.com/domains/search?q=xn--ep5a90b.com,2026-07-23T18:36:19.165Z,Jieba + CC-CEDICT
25,清澈.com,xn--c5w45a.com,2,568,a,clear; limpid,生活审美,99.2,11.25,1,https://vercel.com/domains/search?q=xn--c5w45a.com,2026-07-23T18:36:19.165Z,Jieba + CC-CEDICT
26,寂静.com,xn--rcts00l.com,2,692,a,quiet,生活审美,99.2,11.25,1,https://vercel.com/domains/search?q=xn--rcts00l.com,2026-07-23T18:28:33.159Z,Jieba + CC-CEDICT
27,朦胧.com,xn--2pv468c.com,2,567,a,(literary) (of moonlight) dim; (literary) murky; indistinct,生活审美,99.1,11.25,1,https://vercel.com/domains/search?q=xn--2pv468c.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
28,鲜美.com,xn--lt0az80d.com,2,1014,a,fresh and delicious; tasty,生活审美,99.1,11.25,1,https://vercel.com/domains/search?q=xn--lt0az80d.com,2026-07-23T18:24:48.083Z,Jieba + CC-CEDICT
29,悠久.com,xn--3iq506b.com,2,2461,a,"long (tradition, history etc)",通用品牌,99.1,11.25,1,https://vercel.com/domains/search?q=xn--3iq506b.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
30,温和.com,xn--0trx90d.com,2,1352,a,mild; gentle; moderate,通用品牌,99.0,11.25,1,https://vercel.com/domains/search?q=xn--0trx90d.com,2026-07-23T18:24:48.083Z,Jieba + CC-CEDICT
31,热闹.com,xn--lrx630f.com,2,2022,a,bustling with noise and excitement; lively,通用品牌,99.0,11.25,1,https://vercel.com/domains/search?q=xn--lrx630f.com,2026-07-23T18:24:48.082Z,Jieba + CC-CEDICT
32,冷静.com,xn--b8qp11o.com,2,1102,a,calm; cool-headed; dispassionate; (of a place) deserted; quiet,生活审美,99.0,11.25,1,https://vercel.com/domains/search?q=xn--b8qp11o.com,2026-07-23T18:24:48.083Z,Jieba + CC-CEDICT
33,单纯.com,xn--4kru22h.com,2,1679,a,simple; pure; unsophisticated; merely; purely,通用品牌,98.9,11.25,1,https://vercel.com/domains/search?q=xn--4kru22h.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
34,精细.com,xn--07zp5b.com,2,1616,a,fine; meticulous; careful,通用品牌,98.9,11.25,1,https://vercel.com/domains/search?q=xn--07zp5b.com,2026-07-23T18:24:48.082Z,Jieba + CC-CEDICT
35,精心.com,xn--15tz85d.com,2,1217,n,with utmost care; fine; meticulous; detailed,品质价值,98.9,11.25,1,https://vercel.com/domains/search?q=xn--15tz85d.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
36,细心.com,xn--15t430e.com,2,511,n,meticulous; careful; attentive,品质价值,98.9,11.25,1,https://vercel.com/domains/search?q=xn--15t430e.com,2026-07-23T18:36:19.165Z,Jieba + CC-CEDICT
37,严谨.com,xn--6hqt52m.com,2,742,a,rigorous; strict; careful; (of writing) well organized; meticulous,品质价值,98.8,11.25,1,https://vercel.com/domains/search?q=xn--6hqt52m.com,2026-07-23T18:36:19.167Z,Jieba + CC-CEDICT
38,完整.com,xn--79s83u.com,2,4142,a,complete; intact,通用品牌,98.8,11.25,1,https://vercel.com/domains/search?q=xn--79s83u.com,2026-07-23T18:21:29.173Z,Jieba + CC-CEDICT
39,完好.com,xn--5ust1c.com,2,918,a,intact; in good condition,通用品牌,98.8,11.25,1,https://vercel.com/domains/search?q=xn--5ust1c.com,2026-07-23T18:28:33.157Z,Jieba + CC-CEDICT
40,鲜明.com,xn--2hv672j.com,2,1521,a,(of colors) bright; fresh and clear; clear-cut; distinct,生活审美,98.7,11.25,1,https://vercel.com/domains/search?q=xn--2hv672j.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
41,正义.com,xn--7iq522e.com,2,2965,n,justice; righteousness; just; righteous; (in the titles of traditional commentaries) correct interpretation,品质价值,98.7,11.25,1,https://vercel.com/domains/search?q=xn--7iq522e.com,2026-07-23T18:21:29.174Z,Jieba + CC-CEDICT
42,尊严.com,xn--6hqp25a.com,2,1289,a,dignity; sanctity; honor; majesty,品质价值,98.7,11.25,1,https://vercel.com/domains/search?q=xn--6hqp25a.com,2026-07-23T18:24:48.084Z,Jieba + CC-CEDICT
